Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID
"3889 POMPANO DR SE # A ST PETERSBURG, FL- 33705","$233,306.39","$186,225.00",Hidden,522025CA001576XXCICI,173131950960638891
"8434 77TH AVE SEMINOLE, FL- 33777","$313,709.29","$253,151.00",Hidden,522025CA004213XXCICI,153025038880000370
"730 HAVEN PL TARPON SPRINGS, FL- 34689","$42,361.08","$177,604.00",Hidden,522024CC010524XXCOCO,162718659380107300
"5300 39TH AVE N ST PETERSBURG, FL- 33709","$264,138.36","$239,742.00",Hidden,522025CA002062XXCICI,163104820980000010
"3227 QUEENSBORO AVE S ST PETERSBURG, FL- 33712","$126,161.88","$168,434.00",Hidden,522025CA003629XXCICI,163126896760070070
"1223 JASMINE WAY CLEARWATER, FL- 33756","$331,996.85","$263,586.00",Hidden,522025CA004945XXCICI,152915540000040040
"2378 ECUADORIAN WAY # 22 CLEARWATER, FL- 33763 Plaintiff Max Bid: Hidden Auction Starts 05/07/2026 10:00 AM ET Auction Type: FORECLOSURE Case #: 522025CC009429XXCOCO Final Judgment Amount: $24,642.42 Parcel ID: 162908168090066140 Property Address: 2625 STATE ROAD 590 # 614 CLEARWATER, FL- 33759","$15,324.75","$44,140.00",Hidden,522025CC006423XXCOCO,Property
"2245 ALDEN LN # A PALM HARBOR, FL- 34683","$8,209.74","$87,365.00",Hidden,522025CC011007XXCOCO,162731941340000171
"2100 WORLD PARKWAY BLVD # 20 CLEARWATER, FL- 33763 Plaintiff Max Bid: Hidden Auction Starts 05/07/2026 10:00 AM ET Auction Type: FORECLOSURE Case #: 522025CC011112XXCOCO Final Judgment Amount: $11,839.66 Parcel ID: 152814504580001302 Property Address: 2652 SEQUOIA TER DUNEDIN, FL- 34683","$15,141.72","$224,076.00",Hidden,522025CC011084XXCOCO,Property
"716 BAYWAY BLVD # 5 CLEARWATER, FL- 33767","$608,700.90","$438,797.00",Hidden,522025CA001836XXCICI,152917165230000050
"2020 SHANGRILA DR # 207 CLEARWATER, FL- 33763","$18,518.21","$128,293.00",Hidden,522024CA000914XXCICI,152901641350952070
"2846 HIGHLANDS BLVD # A PALM HARBOR, FL- 34684","$13,707.42","$124,785.00",Hidden,522025CC007391XXCOCO,162806388820630010
"2942 FEATHER DR CLEARWATER, FL- 33759","$15,414.05","$111,074.00",Hidden,522025CC009370XXCOCO,162908582170680060
"2411 UNION ST S ST PETERSBURG, FL- 33712","$210,237.03","$61,362.00",Hidden,522024CA002485XXCICI,163136856980000060
"503 GULF VIEW DR LARGO, FL- 33770","$534,049.34","$202,397.00",Hidden,522025CA004388XXCICI,153005357120200190
"2500 WINDING CREEK BLVD # F-10 CLEARWATER, FL- 33761","$39,862.94","$115,783.00",Hidden,522021CC003286XXCOCO,162819292490061050
"518 8TH AVE SW LARGO, FL- 33770","$163,243.34","$178,521.00",Hidden,522025CA002480XXCICI,152934393840020100
"1950 59TH AVE N # 202 ST PETERSBURG, FL- 33714","$14,179.74","$89,071.00",Hidden,522025CC012168XXCOCO,163036914400142020
"243 3RD ST W TIERRA VERDE, FL- 33715","$211,855.75","$390,249.00",Hidden,522019CA000452XXCICI,163217908280190090
"5460 LEMON TREE LN PINELLAS PARK, FL- 33782","$259,644.05","$192,779.00",Hidden,522025CA001578XXCICI,163016850910000990
"1605 S PRESCOTT AVE CLEARWATER, FL- 33756","$326,305.40","$281,771.00",Hidden,522025CA005890XXCICI,152927585720040020
"930 85TH AVE N # 304 ST PETERSBURG, FL- 33702-3356 Plaintiff Max Bid: Hidden Auction Starts 05/28/2026 10:00 AM ET Auction Type: FORECLOSURE Case #: 522024CA001187XXCICI Final Judgment Amount: $234,991.62 Parcel ID: 162806060240002480 Property Address: 1644 E GROVEHILL RD PALM HARBOR, FL- 34683","$69,083.31","$134,716.00",Hidden,522023CC000670XXCOCO,Property
"112 POINCIANA LN LARGO, FL- 33770","$16,665.66","$873,971.00",Hidden,522025CC004535XXCOCO,152932358200000930
"1532 TILLEY AVE CLEARWATER, FL- 33756","$235,900.99","$259,012.00",Hidden,522024CA001254XXCICI,152922079380020170
"2220 BANCROFT CIR S # F PALM HARBOR, FL- 34683","$227,794.43","$66,453.00",Hidden,522022CA005142XXCICI,162731941340000016
"4320 81ST AVE N PINELLAS PARK, FL- 33781","$228,648.66","$245,927.00",Hidden,522025CA003047XXCICI,163027408600000250
"11025 2ND ST E # 9 TREASURE ISLAND, FL- 33706",$0.00,"$123,301.00",Hidden,522025CC008301XXCOCO,153123731250000090
"640 59TH ST S ST PETERSBURG, FL- 33707","$210,811.75","$172,689.00",Hidden,522025CA005512XXCICI,163120676260030040
"3540 RIDGE BLVD PALM HARBOR, FL- 34684","$5,897.52","$418,732.00",Hidden,522025CC011523XXCOCO,162805206860000280
"412 BELMONT ST SAFETY HARBOR, FL- 34695","$158,372.77","$209,404.00",Hidden,522025CA003580XXCICI,162904996300010200
"3589 50TH AVE N ST PETERSBURG, FL- 33714","$24,500.55","$278,419.00",Hidden,522025CA005534XXCICI,163103509940140130
"227 WOODLAKE WYNDE OLDSMAR, FL- 34677","$154,441.00","$158,621.00",Hidden,522025CA003929XXCICI,162809239570000450
"19727 GULF BLVD # A-2 INDIAN SHORES, FL- 33785","$51,757.60","$154,887.00",Hidden,522025CC006553XXCOCO,143024431350020012
